﻿Plant_ID,Type,Scientific_Name,Scientific_Name_With_Authors,Common_Name,Family,Genus,Species,Species_Author,Infraspecies,Infraspecies_Author,Native,Naturalized,CoC,Endemic,Persisting,Status_State,Status_US,nwpl_emp,nwpl_ncne,State_Rank,Global_Rank,Category,Habitat,Growth_Habit,Duration
2090,Accepted Name,Abies balsamea,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Abies,balsamea,(L.) Mill.,,,Y,,6,N,Y,,,FAC,FAC,S5,G5,Vascular,"Cool northern forests, swamps, and rich fens. A northern tree most common in high elevation sites where it can becomes a dominant tree. At the upper edges of the sub-alpine it forms krummholz. In lower elevation sites it is mostly restricted to poor or thin soils, or wetlands. Fens and rich swamps in central and western New York that have disjunct small patches of A. balsamea are known locally as fir-tree swamps.",Tree,Perennial
1373,Accepted Name,Acalypha rhomboidea,Acalypha rhomboidea Raf.,common three-seeded Mercury,Euphorbiaceae,Acalypha,rhomboidea,Raf.,,,Y,,0,N,Y,,,FACU,FACU,S5,G5,Vascular,"Open forests and woodlands, shores of streams, cultivated ground, disturbed soils, and waste places. Mostly occurring in habitats with open dry to mesic disturbed soils.",Herbaceous,
1361,Accepted Name,Acalypha virginica,Acalypha virginica L.,Virginia three-seeded Mercury,Euphorbiaceae,Acalypha,virginica,L.,,,Y,,10,N,Y,Endangered-State,,FACU,FACU,S1,G5T5,Vascular,,Herbaceous,Perennial
26,Accepted Name,Acer negundo var. negundo,Acer negundo L. var. negundo,"box elder, ash-leaved maple",Sapindaceae,Acer,negundo,L.,var. negundo,,Y,,1,N,Y,,,FAC,FAC,S5,G5,Vascular,"A weedy tree originally native and rare in south central New York now widespread having spread from cultivation. Floodplain forests, banks of rivers, weedy successional forests, disturbed areas, and urban areas.",Tree,Perennial
21,Accepted Name,Acer nigrum,Acer nigrum F. Michx.,black maple,Sapindaceae,Acer,nigrum,F. Michx.,,,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,"Mostly restricted to calcareous or rich soils.  Floodplain forests, rich mesic forests, and limestone forests.",Tree,Perennial
6606,Accepted Name,Acer pensylvanicum,Acer pensylvanicum L.,striped maple,Sapindaceae,Acer,pensylvanicum,L.,,,Y,,7,N,Y,,,FACU,FACU,S5,,Vascular,"A small understory tree that does well in cool microclimates.  Forests with a northern affinity, slopes in ravines, and rocky forests.",Tree,Perennial
31,Accepted Name,Acer rubrum var. rubrum,Acer rubrum L. var. rubrum,common red maple,Sapindaceae,Acer,rubrum,L.,var. rubrum,,Y,,4,N,Y,,,FAC,FAC,S5,G5T5,Vascular,Occurs in a wide variety of habitats and soil types.  Wet swamps to dry forests and young successional habitats this is a very wide spread and common tree.,Tree,Perennial
29,Accepted Name,Acer saccharinum,Acer saccharinum L.,silver maple,Sapindaceae,Acer,saccharinum,L.,,,Y,,6,N,Y,,,FACW,FACW,S5,G5,Vascular,Floodplain forests and banks of larger streams and rivers.  This species is also widely cultivated.,Tree,Perennial
25,Accepted Name,Acer saccharum,Acer saccharum Marshall,sugar maple,Sapindaceae,Acer,saccharum,Marshall,,,Y,,7,N,Y,,,FACU,FACU,S5,G5,Vascular,A widespread and common large tree.  It is a little picky about its habitat preferences.  In northern or cool habitats it grows with other hardwoods notably beech and yellow birch as well as hemlock.  The soils are at least slightly deep or rich.  In more southern areas it does well at the toe of the slope in deep rich soils.  It also occurs in thin soils over limestone.,Tree,Perennial
6605,Accepted Name,Acer spicatum,Acer spicatum Lam.,mountain maple,Sapindaceae,Acer,spicatum,Lam.,,,Y,,8,N,Y,,,FACU,FACU,S4S5,,Vascular,"A small understory tree of northern or cool habitats.  Ravine slopes, cool swamps, northern hardwood, and mixed hardwood forests.",Tree,Perennial
181,Accepted Name,Achillea millefolium,Achillea millefolium L.,common yarrow,Asteraceae,Achillea,millefolium,L.,,,Y,,0,N,Y,,,FACU,FACU,SNR,G5T5?,Vascular,"Fields, waste places, disturbed areas, and rocky open areas.",Forb/herb,Perennial
2574,Accepted Name,Aconitum noveboracense,Aconitum noveboracense A. Gray,"northern monkshood, New York monkshood",Ranunculaceae,Aconitum,noveboracense,A. Gray,,,Y,,10,N,Y,Endangered-State,Threatened-US,,FAC,S1,G3,Vascular,,Forb/herb,Perennial
2575,Accepted Name,Actaea pachypoda,Actaea pachypoda Elliott,"white baneberry, doll’s eyes",Ranunculaceae,Actaea,pachypoda,Elliott,,,Y,,7,N,Y,,,UPL,UPL,S5,G5,Vascular,Rich mesic forests. Often in slightly richer sites than Actaea rubra.,Forb/herb,Perennial
2570,Accepted Name,Actaea pachypoda × A. rubra = A. ×ludovici,Actaea pachypoda × A. rubra = A. ×ludovici B. Boivin,Louis’s baneberry,Ranunculaceae,Actaea,pachypoda × A. rubra = A. ×ludovici,B. Boivin,,,Y,,,N,Y,,,,,SNA,GNA,Vascular,,Forb/herb,Perennial
2555,Accepted Name,Actaea racemosa,Actaea racemosa L.,"black cohosh, black snakeroot, bugbane",Ranunculaceae,Actaea,racemosa,L.,,,Y,,7,N,Y,,,,,S4,,Vascular,"Mesic to dry-mesic hardwood forests and forest edges, vegetated roadsides and paths often in calcareous soils.",Forb/herb,Perennial
2563,Accepted Name,Actaea rubra,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Actaea,rubra,(Aiton) Willd.,,,Y,,7,N,Y,,,UPL,FACU,S5,G5T5,Vascular,Mesic to dry-mesic forests. Often in at least slightly rich soils.,Herbaceous,
2546,Accepted Name,Adiantum pedatum,Adiantum pedatum L.,maidenhair fern,Pteridaceae,Adiantum,pedatum,L.,,,Y,,8,N,Y,,,FAC,FACU,S4,G5,Vascular,Rich mesic hardwoods forests often on lower slopes and valley bottoms in deep calcareous soils.,Forb/herb,Perennial
1530,Accepted Name,Adlumia fungosa,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",Allegheny vine,Papaveraceae,Adlumia,fungosa,"(Aiton) Greene ex Britton, Sterns & Poggenb.",,,Y,,9,N,Y,,,,,S4,G4,Vascular,"Climbing on adjacent vegetation on talus slopes, cliffs, ledges, rocky forests and woodlands often over but not restricted to calcareous bedrock. Appears to respond well to fire and openings in the canopy. Usually some what sparse at a site but occasionally quite abundant and climbing into the canopy.","Vine, Forb/herb",Biennial
2979,Accepted Name,Agalinis purpurea,Agalinis purpurea (L.) Pennell,purple agalinis,Orobanchaceae,Agalinis,purpurea,(L.) Pennell,,,Y,,6,N,Y,,,FACW,FACW,SNR,,Vascular,,Forb/herb,Annual
2953,Accepted Name,Agalinis tenuifolia,Agalinis tenuifolia (Vahl) Raf.,slender agalinis,Orobanchaceae,Agalinis,tenuifolia,(Vahl) Raf.,,,Y,,4,N,Y,,,FAC,FACW,S5,G5,Vascular,"Forest edges, thin canopied forests, woodlands, roadsides, and disturbed soils often in dry coarse grained soils.",Forb/herb,Annual
6914,Accepted Name,Agastache nepetoides,Agastache nepetoides (L.) Kuntze,"yellow giant hyssop, catnip giant hyssop",Lamiaceae,Agastache,nepetoides,(L.) Kuntze,,,Y,,6,N,Y,Threatened-State,,FACU,FACU,S2S3,,Vascular,,Herbaceous,Perennial
6915,Accepted Name,Agastache scrophulariifolia,Agastache scrophulariifolia (Willd.) Kuntze,"purple giant hyssop, figwort giant hyssop",Lamiaceae,Agastache,scrophulariifolia,(Willd.) Kuntze,,,Y,,2,N,Y,,,,,S4,,Vascular,,Herbaceous,Perennial
516,Accepted Name,Ageratina altissima,Ageratina altissima (L.) R.M. King & H. Rob.,common white snakeroot,Asteraceae,Ageratina,altissima,(L.) R.M. King & H. Rob.,,,Y,,4,N,Y,,,FACU,FACU,S5,G5T5,Vascular,"A variety of mesic to slightly wetter forest types, shaded stream banks, shaded shale talus of ravines.  In the warmer parts of the state it is quite weedy and does particularly well in successional forests, floodplain forests, and disturbed forests.  In cooler parts of the state this species become more particular and prefers richer areas sometimes near but not in seeps.",Herbaceous,Perennial
6492,Accepted Name,Agrimonia gryposepala,Agrimonia gryposepala Wallr.,common agrimony,Rosaceae,Agrimonia,gryposepala,Wallr.,,,Y,,4,N,Y,,,FACU,FACU,S5,,Vascular,"Successional forests, floodplain forests, hardwood forests, forest edges, thickets, edges of dirt roads and paths through forests, stream banks, ditches, edges of marshes, and successional fields in mesic to wet-mesic soils. A plant of a wide variety of habitats but usually growing in relatively small populations.",Herbaceous,Perennial
2802,Accepted Name,Agrimonia parviflora,Agrimonia parviflora Aiton,southern agrimony,Rosaceae,Agrimonia,parviflora,Aiton,,,Y,,3,N,Y,Rare-State,,FACW,FAC,S4,G4,Vascular,"Pastures, successional fields, thickets, wet open forests, and edges of marshes in non-shaded to partly shaded wet-mesic to wet soils.",Forb/herb,Perennial
