Species Common name Height Catskill Native? Comments,Types
Agastache scrophulariaefolia Purple Giant Hyssop 3-5' Yes Good bee and humingbird plant; White-flowered form,Herbaceous Perennials
Allium cernuum Nodding Wild Onion 1-2' No Pink to white flowers; Deer-resistant,Herbaceous Perennials
Allium stellatum Prairie Onion 1-2' No Fall bloomer,Herbaceous Perennials
"Antennaria spp Pussy-toes groundcover Yes 8 species in the Catskills; mats of foliage, flowers rise a few inches",Herbaceous Perennials
Asclepias syriaca Common Milkweed 2-4' Yes Aggressive spreader; Fragrant flowers; Butterfly & bee plant,Herbaceous Perennials
Asclepias tuberosa Butterflyweed 1-3' No Bright orange to yellow color; Butterfly & bee plant,Herbaceous Perennials
"Aster laevis Smooth Aster 1-3' Yes Showy 1"" flowers",Herbaceous Perennials
Baptisia leucantha Prairie False Indigo 3-4' No White flowers contrast with dark stem; Hummingbirds,Herbaceous Perennials
Chrysopsis spp. Golden Asters 1-4' No Silvery gray foliage; Bright yellow daisies,Herbaceous Perennials
Dalea purpurea Purple Prairie Clover 2-3' No Cylindrical heads of flowers atop busy clumps of foliage,Herbaceous Perennials
Echinacea pallida Pale Purple Coneflower 1-3' No More drought tolerant than E. purpurea; Ray flowers thin & droopy,Herbaceous Perennials
"Echinacea tennesseensis Tennessee Coneflower 12-20"" No Endangered species; Commercially available plants probably hybrids",Herbaceous Perennials
Eryngium yuccifolium Rattlesnake Master 2-3' No Distinctive foliage; Spiny heads of flowers,Herbaceous Perennials
Eupatorium hyssopifolium Thoroughwort 1-3' No Texture plant for mixing with showy perennials; Butterfly plant,Herbaceous Perennials
Gaillardia aristata Blanket Flower 1-3' No Bright red and yellow flowers; Cultivars short-lived hybrids,Herbaceous Perennials
Helianthus maximilliani Maximillian Sunflower 6-8' No Showy in late summer; Aggressive spreader,Herbaceous Perennials
"Heliopsis helianthoides Oxeye 3-5' Yes Showy, golden orange flowers in summer",Herbaceous Perennials
Heuchera americana Common Alumroot 1-2' Yes Attractive dark green foliage with burgundy veining,Herbaceous Perennials
"Lewisia spp. Lewisia 3-8"" No Spectacular in flower; Well-drained soil; Perhaps a bit of shade",Herbaceous Perennials
Liatris aspera Rough Blazing Star 3-5' No Button-type flowers,Herbaceous Perennials
"Liatris punctata Dotted Blazing Star 8-14"" No Very drought tolerant",Herbaceous Perennials
Liatris scariosa Northern Blazing Star 1-4' No var novae-angliae the only Northeastern species of Liatris,Herbaceous Perennials
Liatris squarrosa Plains Blazing Star 1-2' No Interesting flowers,Herbaceous Perennials
"Lilium philadelphicum Wood Lily 6-24"" Yes Found in open woods but adaptable to mostly sun",Herbaceous Perennials
"Lupinus perennis Sundial Lupine 14-30"" No May not be long-lived; Prefers sandy soil",Herbaceous Perennials
Monarda bradburiana Bradbury Bee Balm 1-2' No A midwestern species; Late spring flowers,Herbaceous Perennials
Monarda citriodora Lemon Mint 1-3' No An annual species that needs to reseed,Herbaceous Perennials
"Oenothera caespitosa Desert Evening Primrose 6-12"" No Beautiful white flowers open in evening, last till morning; Well-drained",Herbaceous Perennials
"Oenothera macrocarpa Missouri Evening Primrose 8-14"" No A nursery favorite: Immense lemon yellow flowers on sprawling edgers",Herbaceous Perennials
"Oenothera pallida White Evening Primrose 6-12"" No Fragrant white flowers open in evening, last till morning; Well-drained",Herbaceous Perennials
"Opuntia humifusa Eastern Prickly Pear 8-14"" Yes Large yellow flowers",Herbaceous Perennials
"Penstemon spp. Beardtongues A diverse genus, many suitable for a xeriscape",Herbaceous Perennials
"Phlox bifida Sand or Cleft Phlox 2-6"" No Luminous pale-blue flowers with deeply cleft petals",Herbaceous Perennials
