season,location,description
late summer/fall,woodland,Actaea pachypoda Doll's Eyes Upright (1-2') Moist; Part sun/Shade Interesting berries; mildly poisonous
late summer/fall,woodland,Actaea rubra Red Baneberry Upright (1-2') Moist; Part sun/Shade Interesting berries; mildly poisonous
late summer/fall,woodland,Aralia racemosa Spikenard Upright (3-5') Moist; Shade/Part sun Big and bold for the woodland; Purple berries in fall
late summer/fall,woodland,Arisaema triphyllum Jack-in-the-Pulpit Upright (1-2') Moist; Shade Variable color of flowers; Bright berries in fall
late summer/fall,woodland,Aster cordifolius Blue Wood Aster Upright (2-3') Average to dry soils; Shade Blue flowers; tough plant for dry shade
late summer/fall,woodland,Aster divaricatus White Wood Aster Sprawler (1-2') Average to dry soils; Shade White flowers; tough plant for dry shade
late summer/fall,woodland,Aster macrophyllus Big-leaved Aster Clumper (1-2') Moist to dry; Part sun/Shade Spreads to form a groundcover; late summer flowers
late summer/fall,woodland,Caulophyllum thalictroides Blue Cohosh Upright (2-3') Moist; Shade Blue berries in fall
late summer/fall,woodland,Cimicifuga americana American Bugbane Upright (3-4') Moist; Part sun to shade Lacks pungent aroma of C. racemosa (Black Cohosh)
late summer/fall,woodland,Cimicifuga rubifolia Appalachian Bugbane Upright (3') Moist; Part sun to shade Faintly sweet-smelling flowers
late summer/fall,woodland,"Clintonia borealis Bluebead Lily Clumper (8-12"") Moist; Shade Brilliant blue berries in fall"
late summer/fall,woodland,Cornus canadensis Bunchberry Groundcover Moist; Part sun/Shade Common at higher elevations
late summer/fall,woodland,Eupatorium rugosum White Snakeroot Upright (2-4') Moist to dry; Part Sun/Shade Good plant for dry shade; Responds well to moisture
late summer/fall,woodland,Gaultheria procumbens Wintergreen Groundcover Moist to dry; Part sun/Shade Flowers in summer; berries last through spring
late summer/fall,woodland,Helianthus decapetalus Woodland Sunflower Upright (2-4') Moist to ave; Part sun/Shade Aggressive spreader - best reserved for wild areas
late summer/fall,woodland,Mitchella repens Partridgeberry Groundcover Moist to dry; Part sun/Shade Flowers in summer; berries last through spring
late summer/fall,woodland,"Panax quinquefolius Ginseng Upright (8-16"") Moist, well-drained; Shade Associated with Sugar Maple"
late summer/fall,woodland,Polygonatum biflorum Solomon's Seal Upright (1-3') Moist; Shade Polyploid form (commutatum) reaches 5-6'
late summer/fall,woodland,Smilacina racemosa False Solomon's Seal Upright (1-3') Moist; Part sun/Shade Berries change color as they mature
late summer/fall,woodland,Solidago caesia Blue-stemmed Goldenrod Upright (1-3') Moist to dry; Part sun/Shade Use in combo with Woodland Asters
late summer/fall,woodland,Streptopus amplexifolius White Mandarin Upright (1-3') Moist; Shade Brilliant red berries in fall for ornament & birds
late summer/fall,woodland,Trillium erectum Purple Trillium Clumper (1-2') Moist; Part sun/Shade Brilliant color; easy in the garden
late summer/fall,woodland,Trillium undulatum Painted Trillium Clumper (1-2') Moist; Part sun/Shade Brilliant color; not so easy in the garden
late summer/fall,sun,Amsonia spp Bluestars Upright (1-4') Moist to dry; Part sun/Shade Flowers in spring; Bright yellow fall foliage
late summer/fall,sun,Anaphalis margaritacea Pearly Everlasting Upright (1-2') Average to dry; Sun/part sun Silvery foliage; host plant for American Painted Lady
